INSERT into switchtest values ('0011.A1AA.C1CC', 'sw1', 'Cisco 3750', 'London, Green Str');
INSERT into switchtest values ('1074.A1AA.C1CC', 'sw74', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1075.A1AA.C1CC', 'sw75', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1076.A1AA.C1CC', 'sw76', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1077.A1AA.C1CC', 'sw77', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1078.A1AA.C1CC', 'sw78', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1079.A1AA.C1CC', 'sw79', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1080.A1AA.C1CC', 'sw80', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1081.A1AA.C1CC', 'sw81', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1082.A1AA.C1CC', 'sw82', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1083.A1AA.C1CC', 'sw83', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1084.A1AA.C1CC', 'sw84', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1085.A1AA.C1CC', 'sw85', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1086.A1AA.C1CC', 'sw86', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1087.A1AA.C1CC', 'sw87', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1088.A1AA.C1CC', 'sw88', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1089.A1AA.C1CC', 'sw89', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1090.A1AA.C1CC', 'sw90', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1091.A1AA.C1CC', 'sw91', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1092.A1AA.C1CC', 'sw92', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1093.A1AA.C1CC', 'sw93', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1094.A1AA.C1CC', 'sw94', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1095.A1AA.C1CC', 'sw95', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1096.A1AA.C1CC', 'sw96', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1097.A1AA.C1CC', 'sw97', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1098.A1AA.C1CC', 'sw98', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('1099.A1AA.C1CC', 'sw99', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2100.A1AA.C1CC', 'sw100', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2101.A1AA.C1CC', 'sw101', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2102.A1AA.C1CC', 'sw102', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2103.A1AA.C1CC', 'sw103', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2104.A1AA.C1CC', 'sw104', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2105.A1AA.C1CC', 'sw105', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2106.A1AA.C1CC', 'sw106', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2107.A1AA.C1CC', 'sw107', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2108.A1AA.C1CC', 'sw108', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2109.A1AA.C1CC', 'sw109', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2110.A1AA.C1CC', 'sw110', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2111.A1AA.C1CC', 'sw111', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2112.A1AA.C1CC', 'sw112', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2113.A1AA.C1CC', 'sw113', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2114.A1AA.C1CC', 'sw114', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2115.A1AA.C1CC', 'sw115', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2116.A1AA.C1CC', 'sw116', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2117.A1AA.C1CC', 'sw117', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2118.A1AA.C1CC', 'sw118', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2119.A1AA.C1CC', 'sw119', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2120.A1AA.C1CC', 'sw120', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2121.A1AA.C1CC', 'sw121', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2122.A1AA.C1CC', 'sw122', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2123.A1AA.C1CC', 'sw123', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2124.A1AA.C1CC', 'sw124', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2125.A1AA.C1CC', 'sw125', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2126.A1AA.C1CC', 'sw126', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2127.A1AA.C1CC', 'sw127', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2128.A1AA.C1CC', 'sw128', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2129.A1AA.C1CC', 'sw129', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2130.A1AA.C1CC', 'sw130', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2131.A1AA.C1CC', 'sw131', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2132.A1AA.C1CC', 'sw132', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2133.A1AA.C1CC', 'sw133', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2134.A1AA.C1CC', 'sw134', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2135.A1AA.C1CC', 'sw135', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2136.A1AA.C1CC', 'sw136', 'Cisco 5567', 'London, Green Str');
INSERT into switchtest values ('2137.A1AA.C1CC', 'sw137', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2138.A1AA.C1CC', 'sw138', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2139.A1AA.C1CC', 'sw139', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2140.A1AA.C1CC', 'sw140', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2141.A1AA.C1CC', 'sw141', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2142.A1AA.C1CC', 'sw142', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2143.A1AA.C1CC', 'sw143', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2144.A1AA.C1CC', 'sw144', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2145.A1AA.C1CC', 'sw145', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2146.A1AA.C1CC', 'sw146', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2147.A1AA.C1CC', 'sw147', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2148.A1AA.C1CC', 'sw148', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2149.A1AA.C1CC', 'sw149', 'Cisco 1200', 'London, Green Str');
INSERT into switchtest values ('2150.A1AA.C1CC', 'sw150', 'Cisco 1200', 'London, Green Str');
